CEFR,Word,POS
A1,final,n.
A1,finally,adv.
A1,finger,n.
A1,finish,n.
A1,first,n.
A1,firstly,adv.
A1,fish,v.
A1,fishing,n.
A1,fit,"v.,adj."
A1,fix,v.
A1,flat,adj.
A1,flu,n.
A1,fly,n.
A1,flying,"n.,adj."
A1,focus,"v.,n."
A1,following,adj.
A1,foreign,adj.
A1,forest,n.
A1,fork,n.
A1,formal,adj.
A1,fortunately,adv.
A1,forward,adv.
A1,free,adv.
A1,fresh,adj.
A1,fridge,n.
A1,frog,n.
A1,fun,adj.
A1,furniture,n.
A1,further,adj.
A1,future,adj.
A1,gallery,n.
A1,gap,n.
A1,gas,n.
A1,gate,n.
A1,general,adj.
A1,gift,n.
A1,goal,n.
A1,god,n.
A1,gold,"n.,adj."
A1,golf,n.
A1,good,n.
A1,government,n.
A1,grass,n.
A1,greet,v.
A1,ground,n.
A1,guest,n.
A1,guide,"n.,v."
A1,gun,n.
A1,guy,n.
A1,habit,n.
A1,half,adv.
A1,hall,n.
A1,happily,adv.
A1,auxiliary,v.
A1,headache,n.
A1,heart,n.
A1,heat,"n.,v."
A1,heavy,adj.
A1,height,n.
A1,helpful,adj.
A1,hero,n.
A1,hers,pron.
A1,herself,pron.
A1,hide,v.
A1,high,adv.
A1,hill,n.
A1,himself,pron.
A1,his,pron.
A1,hit,"v.,n."
A1,hockey,n.
A1,hold,v.
A1,hole,n.
A1,home,adj.
A1,hope,n.
A1,huge,adj.
A1,human,"adj.,n."
A1,hurt,"v.,adj."
A1,ideal,adj.
A1,identify,v.
A1,ill,adj.
A1,illness,n.
A1,image,n.
A1,immediately,adv.
A1,impossible,adj.
A1,included,adj.
A1,including,prep.
A1,increase,"v.,n."
A1,incredible,adj.
A1,independent,adj.
A1,individual,"n.,adj."
A1,industry,n.
A1,informal,adj.
A1,injury,n.
A1,insect,n.
A1,inside,"prep.,adv.,n.,adj."
A1,instead,adv.
A1,instruction,n.
A1,instructor,n.
A1,instrument,n.
A1,intelligent,adj.
A1,international,adj.
A1,introduction,n.
A1,invent,v.
A1,invention,n.
A1,invitation,n.
A1,invite,v.
A1,involve,v.
A1,item,n.
A1,itself,pron.
A1,jam,n.
A1,jazz,n.
A1,jewellery,n.
A1,joke,"n.,v."
A1,journalist,n.
A1,jump,"v.,n."
A1,kid,n.
A1,kill,v.
A1,king,n.
A1,knee,n.
A1,knife,n.
A1,knock,v.
A1,knowledge,n.
A1,lab,n.
A1,lady,n.
A1,lake,n.
A1,lamp,n.
A1,land,v.
A1,laptop,n.
A1,later,adj.
A1,laughter,n.
A1,law,n.
A1,lawyer,n.
A1,lazy,adj.
A1,leader,n.
A1,learning,n.
A1,least,det.
A1,lecture,"n.,v."
A1,lemon,n.
A1,lend,v.
A1,less,det.
